name,secondary_name,has_multiple,group
unknown,,false,Additional parts
water bottle cage,,false,Additional parts
stem,Gooseneck,false,Additional parts
bashguard/chain guide,,false,Drivetrain and brakes
fairing,,false,Frame and fork
lights,,true,Additional parts
bell/noisemaker,,false,Additional parts
basket,,false,Additional parts
chain tensioners,Chain tugs,false,Drivetrain and brakes
derailleur,,false,Drivetrain and brakes
training wheels,,false,Drivetrain and brakes
bottom bracket,,false,Drivetrain and brakes
brake,,true,Drivetrain and brakes
hub guard,,false,Additional parts
generator/dynamo,,true,Additional parts
handlebar,,false,Additional parts
wheel,,true,Wheels
saddle,,false,Additional parts
rim,,true,Wheels
axle nuts,,true,Wheels
hub,,true,Wheels
spokes,,true,Wheels
tube,,true,Wheels
tire,,true,Wheels
brake lever,,true,Drivetrain and brakes
shift and brake lever,,true,Drivetrain and brakes
brake rotor,,true,Drivetrain and brakes
brake pad,,true,Drivetrain and brakes
shifter,,true,Drivetrain and brakes
fork,,false,Frame and fork
rear suspension,,false,Frame and fork
headset,,false,Frame and fork
brake cable,,false,Drivetrain and brakes
shift cable,,false,Drivetrain and brakes
chain,,false,Drivetrain and brakes
chainrings,,false,Drivetrain and brakes
cog/cassette/freewheel,,false,Drivetrain and brakes
crankset,,false,Drivetrain and brakes
pedals,,false,Drivetrain and brakes
computer,,false,Additional parts
pegs,,true,Additional parts
toe clips,,false,Additional parts
grips/tape,,false,Additional parts
seatpost clamp,,false,Additional parts
detangler,,false,Drivetrain and brakes
kickstand,,false,Additional parts
rack,,true,Additional parts
seatpost,,false,Additional parts
fender,,true,Additional parts
aero bars/extensions/bar ends,Aero bars,false,Additional parts
Ebike battery,Electric Bike Battery,false,Drivetrain and brakes
Ebike motor,Electric Bike motor,false,Drivetrain and brakes
Pannier,Rack bag,false,Additional parts
Frame bag,,false,Additional parts
Cargo bike side rails,Cargo bike Monkey bars,false,Additional parts
Handlebar bag,,false,Additional parts
seat bag,saddle bag,false,Additional parts
Top tube bag,bento box,false,Additional parts
Child seat,,false,Additional parts
