slug,name
bike,Bike
tandem,Tandem
unicycle,Unicycle
tricycle,Tricycle
stroller,Stroller
recumbent,Recumbent
trailer,Bike Trailer
wheelchair,Wheelchair
cargo,Cargo Bike (front storage)
tall-bike,Tall Bike (multiple frames fused together)
penny-farthing,Penny Farthing
cargo-rear,Cargo Bike Rear (e.g. longtail)
cargo-trike,"Cargo Tricycle (trike with front storage, e.g. Christiania bike)"
cargo-trike-rear,Cargo Tricycle (trike with rear storage)
trail-behind,Trail behind (half bike)
pedi-cab,Pedi Cab (rickshaw)
e-scooter,e-Scooter
personal-mobility,"e-Personal Mobility (EPAMD, e-Skateboard, Segway, e-Unicycle, etc)"
non-e-scooter,Scooter (not electric)
non-e-skateboard,Skateboard (not electric)
e-motorcycle,"e-Motorcycle (e-Dirt bike, e-bike with no pedals)"
elliptical,Elliptical bike
