name,iso_bsd,priority,description
8 x 1 1/4,137,rare,8 x 1 1/4 (Rare)
10 x 2,152,rare,10 x 2 (Rare)
12in,203,standard,12in (Standard size)
16in,305,standard,16in (Standard size)
16 x 1 3/4,317,rare,16 x 1 3/4 (Rare)
16 x 1 3/8,335,rare,16 x 1 3/8 Polish juvenile (Rare)
16 x 1 3/8,337,rare,16 x 1 3/8 Folders and recumbents (Rare)
400 A,340,rare,400 A (Rare)
16 x 1 3/8,349,rare,"16 x 1 3/8, mysterious (Rare)"
18in,355,standard,18in (Standard size)
17 x 1 1/4,369,rare,17 x 1 1/4 (Rare)
450 A,390,rare,450 A (Rare)
20in,406,standard,20in (Standard size)
20 x 1 3/4,419,rare,20 x 1 3/4 (Rare)
500 A,440,rare,500 A (Rare)
20 x 1 1/8; x 1 1/4; x 1 3/8,451,uncommon,20 x 1 1/8; x 1 1/4; x 1 3/8 (Uncommon)
22 x 1.75; x 2.125,457,rare,22 x 1.75; x 2.125 (Rare)
550 A,490,rare,550 A (Rare)
24in,507,standard,24in (Standard size)
24 x 1,520,uncommon,24 x 1 performance wheels for smaller riders (Uncommon)
"24 x 1 1/8, 24 x 1 3/8 (E.5), 600 A",540,rare,"24 x 1 1/8, 24 x 1 3/8 (E.5), 600 A (Rare)"
"24 x 1 1/4, 24 x 1 3/8 (S-5)",547,rare,"24 x 1 1/4, 24 x 1 3/8, Schwinn Juvenile (Rare)"
26in,559,standard,26in (Standard size)
650 C,571,uncommon,"650 C, Schwinn Cruisers, Tri- and Time-trial bikes (uncommon)"
650 B,584,standard,"650 B, 27.5 mountain bikes, smaller road bikes (Standard size)"
700 D,587,rare,700 D GT size (Rare)
26 x 1 3/8,590,uncommon,"26 x 1 3/8 English 3-speeds, older department-store 10 speeds (Uncommon)"
26 x 1 3/8,597,common,"26 x 1 3/8 (Older Schwinns, S-6) (Common)"
"26 x 1.25, x 1.375",599,rare,"26 x 1.25, x 1.375 (Rare)"
700 C,622,standard,"700 C, 29in mountain bikes (Standard size)"
27in,630,standard,27in (Standard size)
"28 x 1 1/2, 700 B",635,rare,"28 x 1 1/2, 700 B (Rare)"
32in,686,rare,"32in, Unicycle size (Rare)"
36in,787,rare,"36in, Unicycle size (Rare)"
